rmsd_ca,end_to_end,protein_lipid_sep,rg_ca,lipid_plane_dist,contacts,phi_avg,psi_avg,helix_fraction,phi12
1.567830918363163866e-07,2.019462949370973703e+01,6.860538224385932438e+01,9.384546751793051200e+00,5.882000350952148438e+01,3.000000000000000000e+00,-6.147137572015545004e+01,-2.541112333357048314e+01,8.285714285714286254e-01,-6.206847907009539256e+01
8.180546035408662320e-01,2.065899188142180520e+01,7.458237603378182712e+01,9.492351843106584752e+00,6.180000305175781250e+01,0.000000000000000000e+00,-6.269816375184303325e+01,-2.663749853183295002e+01,7.714285714285714635e-01,-9.208957452253837062e+01
9.228448748123432299e-01,2.110064150098318336e+01,7.360541826476023175e+01,9.666318929436719998e+00,6.139000320434570312e+01,1.000000000000000000e+00,-6.385428491552105612e+01,-2.653358015994857766e+01,7.714285714285714635e-01,-5.758041778683858070e+01
9.949200819043912958e-01,2.117908754661791804e+01,7.477159631600741818e+01,9.410301761018903477e+00,6.170000076293945312e+01,1.000000000000000000e+00,-5.925369299703307746e+01,-2.747995011035060386e+01,8.000000000000000444e-01,-8.127241371369684941e+01
8.569053996678720475e-01,2.044400191768908570e+01,7.559320695620905894e+01,9.292724958134416013e+00,5.916000366210937500e+01,4.000000000000000000e+00,-6.499827749422124157e+01,-2.447570637452919229e+01,8.000000000000000444e-01,-8.991225285574746806e+01
1.625361461970838750e+00,2.082951283040384993e+01,7.760774498700990875e+01,9.463382913342154978e+00,5.912000274658203125e+01,0.000000000000000000e+00,-5.818126786544637241e+01,-2.586809999375709168e+01,8.000000000000000444e-01,-7.749839161717198976e+01
2.847920702315477115e+00,2.055368306827587332e+01,7.836840966427611477e+01,9.218655495363316632e+00,5.843000411987304688e+01,1.000000000000000000e+00,-6.240516609455262653e+01,-2.176070117663388359e+01,7.428571428571428825e-01,-1.096626681536889265e+02
2.155177534820292173e+00,2.104516500613729590e+01,7.943468755638308210e+01,9.495148472435193554e+00,5.905000305175781250e+01,1.000000000000000000e+00,-6.167955409498732422e+01,-2.345214957838814485e+01,7.714285714285714635e-01,-8.413819730905464667e+01
2.358627718568805154e+00,2.145301232423669902e+01,7.593082665164830303e+01,9.262154764522183115e+00,5.784000396728515625e+01,0.000000000000000000e+00,-6.166633157222494077e+01,-2.279656659263751450e+01,7.714285714285714635e-01,-1.119034330708386165e+02
3.026285626541633800e+00,2.211122725429805058e+01,7.412111699440825419e+01,9.308808463661566890e+00,6.034000396728515625e+01,1.000000000000000000e+00,-5.338203986906722065e+01,-2.024781756137520006e+01,8.285714285714286254e-01,-7.889562897500925942e+01
