IC1,IC2
6.642887256076688285e-01,8.619829182688898417e-01
1.842934541584851482e+00,-4.191508908172944525e-01
1.055759469912934234e+00,-4.221047047589354673e-01
1.055759469912934234e+00,-4.221047047589354673e-01
-1.228863460642485167e-01,8.590291043272487714e-01
1.448641408571995193e+00,-8.491493077876636209e-01
-5.214130621384920339e-01,-2.142098372640412141e+00
6.614663369000776116e-01,-8.521031217293046911e-01
1.054348275559138459e+00,-1.279147724758032956e+00
1.055759469912934234e+00,-4.221047047589354673e-01
1.057170664266729787e+00,4.349383152401617436e-01
-1.228863460642485167e-01,8.590291043272487714e-01
-1.242975404180441806e-01,1.986084328151466009e-03
-1.304354550749022401e+00,4.260768734152383663e-01
6.600551425462819477e-01,-1.709146141728402180e+00
1.844345735938647257e+00,4.378921291818030914e-01
1.450052602925790524e+00,7.893712211433694115e-03
6.614663369000776116e-01,-8.521031217293046911e-01
2.685843982410167641e-01,-4.250585187005766485e-01
1.055759469912934234e+00,-4.221047047589354673e-01
1.055759469912934234e+00,-4.221047047589354673e-01
-5.214130621384920339e-01,-2.142098372640412141e+00
2.685843982410167641e-01,-4.250585187005766485e-01
-1.257087347718398029e-01,-8.550569356709458724e-01
6.628775312538732756e-01,4.939898269792569220e-03
1.057170664266729787e+00,4.349383152401617436e-01
-1.302943356395226848e+00,1.283119893414335522e+00
-5.185906734309007060e-01,-4.280123326422177743e-01
-5.185906734309007060e-01,-4.280123326422177743e-01
1.057170664266729787e+00,4.349383152401617436e-01
6.614663369000776116e-01,-8.521031217293046911e-01
6.628775312538732756e-01,4.939898269792569220e-03
-5.185906734309007060e-01,-4.280123326422177743e-01
6.656999199614646034e-01,1.719025938267987330e+00
2.714067869486079809e-01,1.289027521297617884e+00
6.600551425462819477e-01,-1.709146141728402180e+00
2.671732038872210446e-01,-1.282101538699673915e+00
2.699955925948123725e-01,4.319845012985206734e-01
6.642887256076688285e-01,8.619829182688898417e-01
1.057170664266729787e+00,4.349383152401617436e-01
1.057170664266729787e+00,4.349383152401617436e-01
-9.086502233823702257e-01,1.713118310384704746e+00
1.058581858620525562e+00,1.291981335239259288e+00
-1.228863460642485167e-01,8.590291043272487714e-01
1.057170664266729787e+00,4.349383152401617436e-01
6.614663369000776116e-01,-8.521031217293046911e-01
-1.242975404180441806e-01,1.986084328151466009e-03
-5.171794790771050421e-01,4.290306873568795476e-01
-5.171794790771050421e-01,4.290306873568795476e-01
6.614663369000776116e-01,-8.521031217293046911e-01
-1.242975404180441806e-01,1.986084328151466009e-03
2.685843982410167641e-01,-4.250585187005766485e-01
-5.171794790771050421e-01,4.290306873568795476e-01
1.054348275559138459e+00,-1.279147724758032956e+00
6.614663369000776116e-01,-8.521031217293046911e-01
-5.171794790771050421e-01,4.290306873568795476e-01
-5.171794790771050421e-01,4.290306873568795476e-01
2.685843982410167641e-01,-4.250585187005766485e-01
6.614663369000776116e-01,-8.521031217293046911e-01
-5.214130621384920339e-01,-2.142098372640412141e+00
2.671732038872210446e-01,-1.282101538699673915e+00
-1.257087347718398029e-01,-8.550569356709458724e-01
1.448641408571995193e+00,-8.491493077876636209e-01
2.685843982410167641e-01,-4.250585187005766485e-01
6.614663369000776116e-01,-8.521031217293046911e-01
-1.242975404180441806e-01,1.986084328151466009e-03
-5.185906734309007060e-01,-4.280123326422177743e-01
-1.242975404180441806e-01,1.986084328151466009e-03
-5.185906734309007060e-01,-4.280123326422177743e-01
-1.242975404180441806e-01,1.986084328151466009e-03
-1.242975404180441806e-01,1.986084328151466009e-03
-1.242975404180441806e-01,1.986084328151466009e-03
-5.185906734309007060e-01,-4.280123326422177743e-01
-1.242975404180441806e-01,1.986084328151466009e-03
-1.242975404180441806e-01,1.986084328151466009e-03
-5.185906734309007060e-01,-4.280123326422177743e-01
6.642887256076688285e-01,8.619829182688898417e-01
2.699955925948123725e-01,4.319845012985206734e-01
2.699955925948123725e-01,4.319845012985206734e-01
-5.143570903695137142e-01,2.143116727355073969e+00
-5.171794790771050421e-01,4.290306873568795476e-01
-1.305765745102818176e+00,-4.309661465838589001e-01
2.685843982410167641e-01,-4.250585187005766485e-01
-1.242975404180441806e-01,1.986084328151466009e-03
-5.185906734309007060e-01,-4.280123326422177743e-01
-5.185906734309007060e-01,-4.280123326422177743e-01
-9.114726120899616646e-01,-9.677296134896924956e-04
-1.242975404180441806e-01,1.986084328151466009e-03
-5.171794790771050421e-01,4.290306873568795476e-01
2.699955925948123725e-01,4.319845012985206734e-01
-1.242975404180441806e-01,1.986084328151466009e-03
-1.242975404180441806e-01,1.986084328151466009e-03
-5.171794790771050421e-01,4.290306873568795476e-01
-1.242975404180441806e-01,1.986084328151466009e-03
-1.242975404180441806e-01,1.986084328151466009e-03
-9.114726120899616646e-01,-9.677296134896924956e-04
2.671732038872210446e-01,-1.282101538699673915e+00
2.685843982410167641e-01,-4.250585187005766485e-01
-1.257087347718398029e-01,-8.550569356709458724e-01
6.614663369000776116e-01,-8.521031217293046911e-01
-1.242975404180441806e-01,1.986084328151466009e-03
-9.100614177361658896e-01,8.560752903856075902e-01
2.699955925948123725e-01,4.319845012985206734e-01
-1.242975404180441806e-01,1.986084328151466009e-03
2.714067869486079809e-01,1.289027521297617884e+00
-1.228863460642485167e-01,8.590291043272487714e-01
-9.114726120899616646e-01,-9.677296134896924956e-04
-1.242975404180441806e-01,1.986084328151466009e-03
-1.242975404180441806e-01,1.986084328151466009e-03
2.685843982410167641e-01,-4.250585187005766485e-01
-5.185906734309007060e-01,-4.280123326422177743e-01
-1.242975404180441806e-01,1.986084328151466009e-03
-1.242975404180441806e-01,1.986084328151466009e-03
-1.242975404180441806e-01,1.986084328151466009e-03
-9.128838064437572175e-01,-8.580107496125869426e-01
-5.171794790771050421e-01,4.290306873568795476e-01
-1.700058878115674688e+00,-8.609645635542281239e-01
2.699955925948123725e-01,4.319845012985206734e-01
-9.114726120899616646e-01,-9.677296134896924956e-04
-9.128838064437572175e-01,-8.580107496125869426e-01
-5.185906734309007060e-01,-4.280123326422177743e-01
2.699955925948123725e-01,4.319845012985206734e-01
6.628775312538732756e-01,4.939898269792569220e-03
