IC1,IC2
8.672033499281871505e-01,-7.333262527906934947e-02
8.824644093438538395e-01,-2.834827743224486302e-02
8.617723579632170505e-01,-2.411034495605237152e-02
8.328593571211686530e-01,-5.098915790764907419e-02
8.039539318747401797e-01,-1.273968339459642385e-01
7.943162534663176233e-01,-1.144743484942294109e-01
8.128610648830173480e-01,-1.109661763854611904e-01
7.952921680854135866e-01,-1.002744819550188127e-01
7.498703076296827641e-01,-1.251703482071412910e-01
7.347933344133734668e-01,-1.015977410806856301e-01
7.429211236714556854e-01,-6.697449165776826752e-02
7.652498833858375482e-01,-1.303556042796439052e-01
6.597940173786622786e-01,2.580643952930733107e-02
7.367769533246009139e-01,2.156565750905687154e-02
7.207155842271779633e-01,-4.440973433651992236e-02
7.771778301856825388e-01,-4.033644387826029049e-02
7.316006059402923034e-01,-4.283669651737471995e-02
7.830333487346385901e-01,-7.163439430523398099e-02
7.746847770233237229e-01,-4.272618403561102840e-02
7.539372695041447470e-01,1.357763198554382336e-02
7.477885362032089533e-01,-3.301575723090677261e-02
7.823558710313938125e-01,-5.843771519973815776e-02
7.893711357431030251e-01,-3.175732274972639657e-02
7.495627821138937108e-01,-1.521206329458571309e-02
7.024728598673984914e-01,4.406031778306913893e-02
7.181401566109120171e-01,5.885392398565812699e-02
7.227632242938336615e-01,3.940716777247826180e-02
6.856773124603088299e-01,7.673222108267782268e-03
6.746245588949657535e-01,7.229181691351276029e-02
6.912849633294505525e-01,8.340404758068767355e-02
6.820023641896398869e-01,2.862617084727146419e-02
6.582719835123576058e-01,4.235023927862410775e-02
6.745435281213697509e-01,1.922910241054144251e-02
7.569454285336023602e-01,2.695998240742516344e-02
7.587431097475019204e-01,1.145897300708153960e-01
7.934170807312225238e-01,8.469875431742535099e-02
7.378534991035764490e-01,7.783098203666477533e-02
7.558390446560631082e-01,6.899488240310489018e-02
7.864541556649946585e-01,8.233390754557898261e-02
7.817350664687247042e-01,4.292411179614836342e-02
7.810993672676818100e-01,9.686582277189062506e-02
8.058369328333221393e-01,1.109885555759872744e-01
8.316523424523306618e-01,1.040246224081954884e-01
8.007245564299406704e-01,9.812384935729839830e-02
7.859334939785682650e-01,7.435903636590267263e-02
8.413417937943165059e-01,1.022061399903638063e-01
7.986573124895144371e-01,7.016821861484229261e-02
7.752101208969444102e-01,1.188154794154534788e-01
7.470745042745031705e-01,3.432060055736817217e-02
7.853353606816602106e-01,4.604264831527439539e-02
7.769411188930098744e-01,1.034038927656073942e-01
7.752938452637612166e-01,1.143150395945117942e-01
7.691530314548655767e-01,1.129106507347650279e-01
8.056014983436929899e-01,5.196054672654738804e-02
8.720089350500077607e-01,3.292356998054239703e-02
8.675263193835235365e-01,1.950960548328505365e-02
8.536338273880398342e-01,7.400066716398902289e-02
-9.918036432360123333e-01,-1.957723026786764242e+00
-9.513511971667057976e-01,-1.961620797253812221e+00
-9.904687602773143418e-01,-1.958778196991370901e+00
-8.910985354887132059e-01,-1.904491139128622113e+00
-8.368904288216822973e-01,-1.887501564907368978e+00
9.342475460954423605e-01,2.964819572711709789e-02
9.246479238637484999e-01,6.006264106717328077e-02
8.938975636190816809e-01,6.740884449197065420e-02
-7.872720896556936188e-01,-1.864231109596372837e+00
8.922651571019220018e-01,5.556101177183443707e-02
-8.390332132778927088e-01,-1.863316930951922190e+00
8.096140040370578550e-01,5.995120781547844807e-02
8.259842676145895402e-01,2.271881767490276788e-02
9.096424632677951871e-01,6.505340720572601321e-02
8.864580552948290171e-01,3.035693435593023876e-02
8.757124133289866386e-01,2.695605906234756904e-02
8.761652354155126110e-01,4.874273171283396294e-02
8.964190689175732807e-01,1.550707069587332378e-02
8.758221915978225969e-01,1.174572330022137165e-02
8.904310369833684513e-01,-1.237865912930850507e-02
-9.732104090785120842e-01,2.108761185786570014e+00
-9.507497613239868084e-01,2.091716641555499301e+00
-9.936215476063215979e-01,2.085988649912160930e+00
-9.193775452871771892e-01,1.999616127037389335e+00
-8.632497462053461135e-01,1.982532634544900141e+00
9.053320157969331206e-01,-4.158000810999921970e-02
9.207314248835213322e-01,-4.503098688534015043e-02
