IC1,IC2
-1.477158565482039387e+00,3.481550995775727908e-01
-8.302565858749055838e-01,-3.712464658296642517e-01
-8.302565858749055838e-01,-3.712464658296642517e-01
-1.153707575678472486e+00,-1.154568312604572697e-02
-8.549754406177904054e-01,3.366167793326471092e-01
-1.153707575678472486e+00,-1.154568312604572697e-02
-5.068055960713385710e-01,-7.309472485332827452e-01
-8.302565858749055838e-01,-3.712464658296642517e-01
-5.315244508142235036e-01,-2.308400337097141555e-02
-1.477158565482039387e+00,3.481550995775727908e-01
-1.178426430421357418e+00,6.963175620362656026e-01
-8.549754406177904054e-01,3.366167793326471092e-01
-1.477158565482039387e+00,3.481550995775727908e-01
-8.302565858749055838e-01,-3.712464658296642517e-01
-8.302565858749055838e-01,-3.712464658296642517e-01
-1.153707575678472486e+00,-1.154568312604572697e-02
-8.549754406177904054e-01,3.366167793326471092e-01
-8.549754406177904054e-01,3.366167793326471092e-01
-1.153707575678472486e+00,-1.154568312604572697e-02
-2.080734610106566018e-01,-3.827847860745899333e-01
-8.549754406177904054e-01,3.366167793326471092e-01
-8.549754406177904054e-01,3.366167793326471092e-01
-8.549754406177904054e-01,3.366167793326471092e-01
-1.153707575678472486e+00,-1.154568312604572697e-02
-5.315244508142235036e-01,-2.308400337097141555e-02
-1.153707575678472486e+00,-1.154568312604572697e-02
-1.153707575678472486e+00,-1.154568312604572697e-02
-1.153707575678472486e+00,-1.154568312604572697e-02
-8.302565858749055838e-01,-3.712464658296642517e-01
-8.549754406177904054e-01,3.366167793326471092e-01
-8.302565858749055838e-01,-3.712464658296642517e-01
-5.315244508142235036e-01,-2.308400337097141555e-02
-8.549754406177904054e-01,3.366167793326471092e-01
-1.153707575678472486e+00,-1.154568312604572697e-02
-1.153707575678472486e+00,-1.154568312604572697e-02
-1.153707575678472486e+00,-1.154568312604572697e-02
-8.302565858749055838e-01,-3.712464658296642517e-01
-5.315244508142235036e-01,-2.308400337097141555e-02
-8.549754406177904054e-01,3.366167793326471092e-01
-8.302565858749055838e-01,-3.712464658296642517e-01
-8.302565858749055838e-01,-3.712464658296642517e-01
-5.315244508142235036e-01,-2.308400337097141555e-02
-8.302565858749055838e-01,-3.712464658296642517e-01
-8.549754406177904054e-01,3.366167793326471092e-01
-2.327923157535415066e-01,3.250784590877214830e-01
-5.562433055571084362e-01,6.847792417913399765e-01
-1.153707575678472486e+00,-1.154568312604572697e-02
-8.549754406177904054e-01,3.366167793326471092e-01
-1.153707575678472486e+00,-1.154568312604572697e-02
-5.315244508142235036e-01,-2.308400337097141555e-02
-1.452439710739154455e+00,-3.597081455847386255e-01
