IC1,IC2
2.108664390373773123e-01,9.322575895139227908e-01
-1.008845134954764466e+00,1.845847539101296286e+00
-1.445277583939907462e+00,8.283642822978433129e-01
-2.396702955021562165e+00,-2.935188830907561330e-01
-1.406321913818116887e+00,-1.144884342482923811e+00
-1.257059750392107711e+00,-9.610192961340029427e-01
-5.833277723025208639e-01,-5.950226610940886340e-01
-2.553566579902974421e-01,4.536206317153155254e-01
-6.187691276887894443e-01,-1.184611357006857935e+00
-1.360328012453452695e+00,-2.439632344375148795e-03
1.026546234474544406e+00,9.886790143642515405e-01
-3.050358260122897902e-01,4.258322195869016502e-01
-1.098257590115893301e+00,-6.720111403201786127e-01
-1.768825040563453577e+00,-2.381090869863222714e+00
-1.571876498432747793e+00,-3.055530494101165728e-01
-7.433924347885326744e-01,-2.816468049869215839e+00
-1.259860959944329784e+00,-8.285585695561674680e-01
-1.730883876308567215e+00,-6.859308549216532880e-01
-6.872529601844641345e-01,7.117725878989028532e-02
-1.706324119312700116e+00,-7.953871782950583391e-01
-5.152750115169479894e-01,-2.042685973692517365e+00
-4.884023926215290690e-01,-1.128805248221435908e+00
-1.054039906885292366e+00,-3.153413209125789929e-01
-4.945481439908799293e-01,3.014675555518195882e+00
-2.017348939934284324e+00,1.661906120653234842e-01
-1.529777722788648875e+00,4.850961591355100744e-01
-2.478553649428029138e-01,1.029295158438134683e+00
2.620671246040701674e-01,2.610895574619979120e-01
-9.931282646730622554e-01,5.668182646463753027e-01
-9.155526810879566213e-01,5.902465477967973051e-01
1.321658172217825278e-01,-2.334735341627064198e+00
-8.671177446452221771e-01,-1.305266893522692095e+00
-1.596292963108735696e+00,-1.321402394829142291e-01
-2.660520756887843952e+00,9.745005364988438279e-01
-1.810231036564103890e+00,-1.200518788976799728e-01
-1.916217946387053006e+00,1.007537072019954572e+00
-1.284272775283159973e+00,7.199398757389529058e-01
-1.933301704057000858e+00,3.084434038794306998e-01
-7.188210211115236836e-01,-1.757565700765019723e-01
-1.394876019933825262e+00,1.175943885583819126e+00
-7.084094918697270149e-01,1.688225089607968021e+00
-7.603360437542542316e-01,6.645145613495543335e-01
-1.090095818490509405e+00,1.960448998788610619e-01
7.642382934718209286e-01,-1.192425813392606004e+00
-1.383566812293540726e+00,6.917797179814707542e-01
-1.404567519071884263e+00,-3.682466008359457921e-01
2.202997751258546633e-01,-3.833671426678033067e-01
6.777040922840007475e-01,3.099196306083207841e-01
-7.799049552121799234e-02,7.244952166768131585e-01
-2.929823911265594383e-01,2.705998776886602841e-01
-2.007318229551056543e+00,-8.844640359992389511e-01
-2.000104715893784579e+00,-4.367077195243031507e-01
-1.804319022555132657e+00,-2.479214581840705478e-01
-1.053454974880510653e+00,1.315577285274245334e+00
-1.371161314731035530e+00,6.918752819053105574e-01
-1.161781211454473883e+00,3.560988835807757380e-02
-1.029437682117177344e+00,-4.065216123331831244e-01
-7.338980414527023211e-01,1.386522305910957487e+00
-1.296867487524485441e+00,-7.374686049191138126e-01
-6.349595374528412828e-01,-1.157328113064183123e-01
5.232795130674953304e-02,-6.130551226110508845e-01
-1.256515883778653031e-01,2.170434753468019617e-01
-1.094239808586340512e+00,-2.653945495797150889e-01
-2.447492098232112445e-01,-3.411993296383384333e-01
-1.262396213494159314e+00,-5.773167818144194774e-01
-1.210157685077701162e+00,5.834526091312789431e-01
-1.069271899848069030e+00,-1.567197191032757120e+00
-8.887789300014549143e-01,-2.657674725816328909e+00
-1.213899359645224552e+00,-2.445420545452567485e+00
-1.585523853820633322e+00,-2.228946963426428951e+00
-2.305298897420076099e+00,3.604536826772318237e-01
-1.712067547280217372e+00,7.806634057818774286e-01
-9.819783443999162698e-01,1.384644362989318589e+00
-1.588469542569673321e+00,-2.160444475080105953e+00
-6.246133959509896361e-01,3.457518015439333681e-01
-1.267875968916089890e+00,-2.575707540486328884e-01
-1.447772653174294932e+00,-2.772035154826699710e-01
-4.758329662282529959e-01,-1.055617800337543155e+00
-1.359026512805151965e+00,5.731862634169512249e-01
-1.375063455669110368e+00,-1.035005872948385974e+00
-1.239320163481428594e+00,-1.344629749885176917e+00
-7.116764400779620470e-01,-1.130495584543682153e+00
-1.105631570143716935e+00,1.822245429350357326e-01
5.002830197527049494e-01,1.386717535763682285e+00
-6.532311109183256415e-01,1.405404605161709730e+00
-1.044932168622127566e+00,-4.020746599270711985e-01
-2.054850830384619798e+00,3.799269886392475648e-02
-1.502287085214062179e+00,1.673085851592585493e+00
-1.983945109347313052e+00,1.226308991451149133e+00
-2.001869277346705722e+00,1.527685192910866796e+00
-2.360007201349347383e+00,-5.216589878122316337e-01
-8.010313004519568070e-01,4.951769403065395814e-01
-4.532269853641270885e-01,-6.579941280100052303e-01
-1.812222639004460678e+00,1.743834234755806678e+00
-1.114785246512873806e+00,-1.124405519156049582e+00
-1.332202182149026193e+00,9.371054081474669561e-02
-1.017316509358201504e+00,8.407361395704021634e-01
-1.441923743448462858e+00,-4.324845241281168318e-01
-1.626233918688656521e+00,-1.032336080292640235e+00
-1.314539328688393516e+00,1.048635428096461153e+00
-4.991232057968129077e-01,2.361361409257939137e+00
3.013669820262787069e-01,2.559288595523095733e+00
-6.523470616867453886e-01,4.232055482668368729e-01
3.344851012173473415e-02,-2.107064298136211988e+00
-1.017512739254531118e+00,-1.991662430424599339e+00
-1.646858455945588551e+00,-5.528117267289428538e-01
-1.884077797013292699e+00,1.352199522293367207e-01
-2.965885584534888042e-01,4.672085255876303606e-02
-6.922385396131538471e-01,6.102094127164138238e-01
-4.408398487292330969e-01,7.080481705200666331e-01
-1.430663609656298130e+00,1.806111185432027755e+00
-1.186097940289171815e+00,-1.120377227448496438e+00
-1.022862831523490224e+00,-2.420131457130708375e-01
-1.434467193756496117e+00,-1.250168161370586173e+00
-2.167703840525223136e+00,-5.019323962392137073e-01
-1.429229287492321587e+00,-3.044724837412524643e-01
-1.397731353939436705e+00,-1.460039222957264959e+00
-1.200555770821295498e+00,7.160053962775241310e-01
-1.705740374184857355e+00,8.355296762140502764e-01
-6.193824970307991729e-01,-8.363468862493345091e-02
3.643641263060591884e-01,-1.126925245350846039e+00
1.496978285260305019e-01,-2.809711977506232916e+00
-1.519340039666430053e+00,-1.757903073223830326e+00
-1.425686224448531547e+00,-1.080048879704115367e-01
-1.207784100522413695e+00,1.634194098516817961e+00
-1.221385525677832540e+00,1.104160100143509071e+00
-8.954601382593556647e-01,1.248245671487480335e+00
-6.733902283638105724e-01,-6.550933170408063111e-01
-1.099600370659502557e+00,-1.265911316356590266e+00
2.745539970802543528e-01,2.977319302582935867e-01
-4.744707281771654017e-01,-4.525804931100166351e-01
-1.579435059549284981e+00,4.664483815536411004e-01
-1.357938424977379821e+00,-3.176414099953507320e-01
-1.883230379339863481e+00,5.098322504272962963e-01
-1.496684673983144087e+00,1.408160912974340429e+00
-1.754700600809453226e+00,-2.475479429844307522e-01
-1.248169746568537297e+00,1.601915322268231856e+00
-1.415511034868485840e+00,-1.094701297803461371e+00
-1.675460191612716754e+00,-8.591126465354025354e-01
-1.577424007474975465e+00,-1.388304086371304535e+00
-9.654016141548161789e-01,-8.857211353373027896e-01
-1.209806817151390712e+00,7.387752778130712850e-01
-1.393329208667549723e+00,1.861211959640227898e+00
-1.500025981887548099e+00,-7.202091678899083527e-02
-7.859554512406656812e-01,-1.067096716433487469e+00
-1.070958540974004558e+00,-9.413378679527603099e-01
-5.434374733795256374e-01,-7.820247917588067921e-01
-8.012376970549751620e-01,4.038090243936859336e-01
-1.657178132595977793e+00,3.699229594100206797e-01
1.175416841050104799e-01,-5.714481052165267805e-01
-5.161107725092355381e-01,3.328695312756416724e-01
-1.989289684246741352e+00,-1.140158013287388084e+00
-1.726907375674323397e+00,-2.975885444562754722e-01
-2.140837049970375272e+00,-9.631355723511912936e-01
-8.187147982970066629e-01,-4.688868298440044824e-01
-1.125264210530401598e+00,1.100319432928204888e+00
3.032164632766438661e-01,6.314407760683793391e-01
-1.818306783938651527e+00,4.235245251436542957e-01
-2.048215233514619982e+00,2.299160624128110397e-01
-2.047347171456773474e+00,6.136672434796003328e-01
-9.926547251907126279e-01,7.769689934008566778e-01
-1.095066589748878494e+00,-6.308714503714188959e-01
-8.580256247665317415e-02,1.177054986957223881e-02
-1.378519315458650807e+00,1.801572417362886092e-01
-1.705333401445866093e+00,-3.568149080807277440e-01
