IC1,IC2
5.836466953397025093e-02,-5.691353103194194546e-02
4.492321303195874194e-01,-1.009216828321973791e+00
3.820181904691101471e-02,1.254357251315785238e-01
4.258777431285231674e-01,-5.433456024305729493e-01
6.591199838487900031e-01,-6.912550408957010006e-01
8.101693947435880672e-01,2.919064400407991172e-02
1.441200660067061934e+00,-7.693402424909713266e-01
7.391829206406939079e-01,-3.459102970892455886e-01
7.511111754498245308e-01,-1.591863198150568870e+00
4.548053599220756582e-01,-4.053998130171058700e-01
2.761678425545978088e-01,3.021513767355982760e-01
4.076113948675341714e-01,-5.194248535957985552e-02
5.941247933605368070e-01,-1.801235677709761007e-01
-1.399868345858764906e-01,1.385601926587139709e-01
3.260084451356401458e-01,-1.840549648816287576e-01
5.546633662511070151e-01,3.285697575044045915e-01
-2.416177510312888382e-02,1.069561303271423514e-01
-1.167083301270694096e-01,1.990082620175408559e-02
-6.518196620173212497e-02,1.948966127921689107e-01
-2.576744384959713252e-01,1.617520320191185440e-02
-5.838539206262694653e-03,2.822009401858386300e-03
-1.219867942634805247e-01,4.406933479434945733e-01
2.019902001880159170e-01,5.480753241267003611e-02
1.914844439918671481e-01,3.163822554875936333e-01
-3.944820651455318433e-02,-2.122477437386399018e-02
4.605331098761716313e-01,-3.963056105220513770e-01
2.423207137426221514e-01,-4.773892960132673502e-01
1.478648223682683116e-01,-2.638448643860870080e-01
-2.060380301144172088e-01,6.284129761828454175e-01
-1.243494040676623447e-01,-1.854217166435335462e-01
6.528503783826494766e-01,9.237627049613654495e-02
2.263659230835550484e-01,-1.305053144602307258e-01
2.080850549681357298e-01,-2.165121602527852462e-01
3.983904730876049183e-02,6.117808671826991535e-02
4.685314774469005739e-02,-9.624594041931237853e-02
4.213673607005971045e-01,-4.722006562877714697e-01
1.987377896542429634e-01,1.365334962563829746e-01
-3.428054995133291566e-02,8.041825642949101960e-02
-1.789933478803491795e-01,-3.045080549068102105e-01
3.734624807551103348e-02,3.087408245598032286e-01
-2.256900131679345500e-01,-2.198055576495437646e-01
2.597334572469988667e-01,-3.729651858736236780e-02
2.273228058576571009e-01,-2.038376516241559647e-02
3.047932293269434711e-01,-1.958936139919634778e-01
1.307212532462534715e-01,2.128394692235779651e-01
-2.090035104957374545e-01,-2.892487591021013493e-01
-1.821165996336611692e-01,5.349384106478667633e-02
5.628832666199273804e-01,7.136548165336327187e-01
3.727285372134635510e-01,-2.204402588840239513e-02
1.267432002268683855e-01,4.668127519515670731e-01
2.894611906790823252e-01,-4.726291751485660053e-01
4.865077636933834437e-02,-4.334952959034747699e-02
-1.229804038745851112e-02,3.741510876204187631e-04
-7.973926060033455221e-02,-1.755267084088625862e-01
1.962513964536059530e-01,2.664151105412798093e-01
1.612290816153606234e-03,5.002033349454331618e-02
4.980261819616505492e-01,1.822753125998917700e-01
-2.924714855017395213e-02,-6.375785491910726521e-02
-4.664219955849526755e-01,2.696131613729478571e-02
2.567417281631975134e-01,-7.461138362482962194e-02
-3.681568871319124803e+00,-3.369101134955562848e+00
-3.361174135284130227e+00,-3.736515401911280509e+00
-1.837177837966537039e-02,-2.270454450934165369e-01
4.589123167476442666e-01,3.688866491722090357e-01
7.640038803953100865e-01,4.543095925320274620e-01
8.171537580238691714e-03,5.390423489710948202e-01
8.670187787879244379e-01,1.057125836693027399e+00
8.833922954923999482e-01,-3.921903287152816442e-01
2.434612267926459239e-01,-1.061933984025020539e-01
3.159692877635488228e-01,-2.693708318727767725e-01
1.470705210536130403e-01,3.424844928734676608e-01
3.695584138771011995e-01,3.914519344506096066e-01
1.007550142864573617e-01,1.306075642385626234e-01
-3.031806937900840063e-03,2.737409983684643278e-01
3.448389829738586210e-01,-1.079994480924292843e-01
-3.306461057181481200e-02,-7.475932550116017039e-02
5.785738445801847929e-01,-9.815757967928885608e-02
4.325348987830777148e-01,5.608375883328508005e-01
-2.721965294569715921e-01,1.959655915674493321e-01
2.419566775513473378e-01,6.916963906955952979e-02
-2.968406875337496142e+00,4.267322751323033181e+00
-3.248632274461787706e+00,4.010240157507828584e+00
-8.520904508001274358e-02,1.754320750780517801e-01
1.888324011851350570e-01,-6.547151776852151439e-01
7.075388184702772199e-01,-5.241434983407414760e-01
4.294054865950337474e-01,-9.885228883773780617e-02
8.595871960900768327e-01,-1.091380346821845038e+00
5.072525306602798656e-01,5.844575580281570482e-03
3.493825145251954617e-02,-1.006996417008707290e-01
1.866836199931135865e-01,1.477817724457410331e-01
7.788929179189568730e-02,-4.124934870065105064e-01
6.963441878536629215e-01,-5.270546161969401344e-02
1.608507955115723587e-01,-5.988327611480297186e-02
6.801332924030208116e-02,-1.931032347437211250e-01
7.704823058465706809e-02,-1.625023058395732023e-01
1.763247026413871646e-03,1.261017243093870421e-01
3.466938454090874866e-01,-1.390443371705228637e-01
5.924722322211574133e-01,-4.013822286964551234e-01
2.070668568304437906e-01,3.175416594074348953e-01
6.801524479458646022e-01,3.955753711054336708e-01
1.423296402844963282e+00,2.858964270426994636e-01
7.517965714986485359e-01,1.449068749046633631e-01
3.229195714606353795e-01,2.610383239763630625e-01
-2.699184767747584424e-01,1.999698468640480065e-01
1.878411675487932364e-01,-6.140135746460251807e-03
5.128722776073338929e-01,1.936685909463766730e-01
-1.691640166212386165e-01,3.974136799459963842e-02
1.593821283973222147e-01,-3.654047489561135786e-01
-3.029551564550643874e-04,7.827469293825024821e-02
1.923750612830480156e-01,-1.357587002644899121e-01
-2.315253028798427704e-01,1.100791318202835045e-01
2.241914157228503957e-01,-4.385769932978905716e-01
7.839450778850198809e-02,-1.495938895604063956e-02
2.144132901688361806e-02,1.604048196556007999e-01
-1.335017942143193470e-01,-4.236977090846182070e-02
2.248486254921314986e-01,1.166982683583257796e-01
2.862698229931204819e-01,8.587044445171326812e-02
3.998085930558805123e-01,2.119002250870408721e-01
8.552192669146243542e-01,3.614265790592516292e-01
5.522650814712629641e-01,-5.372420696590286537e-01
9.422627419297300300e-01,-8.066705202261736929e-01
8.029690122590383838e-01,-9.495051127683307168e-02
3.958949121841072172e-01,-1.836566296841029566e-01
1.294075486226013878e-02,1.082150339334412986e-01
1.062359350618777704e-01,-6.951247980548048988e-02
7.676113956682716344e-01,7.191788475004312620e-02
-2.284329368918647796e-01,-8.701995113228540302e-02
2.627527225313164641e-02,2.447097464347191276e-01
2.679125022109407617e-01,2.128117025481074398e-01
2.436139171523010183e-01,2.018025898699895293e-01
-1.249452606122713333e-01,1.535544807206484959e-02
-8.449755776959119724e-02,1.350237240708502817e-01
5.504521927637404111e-02,2.240961766819003342e-03
3.233725299496823524e-01,1.636422025177982909e-01
1.582176893928075589e-01,3.630656563872943221e-01
7.868810788254803068e-01,4.766208787491478804e-01
6.772119425737979093e-01,3.283654091392341212e-01
2.805668288028178581e-01,-3.355160281883850515e-01
6.212705048222327830e-01,-6.161021308620915349e-01
1.545442401868071525e-01,1.373453900793548399e-01
4.113898921431466960e-01,2.672134817874721735e-01
1.241862029140096357e+00,5.546265696031584813e-01
3.121778106326723590e-01,1.063353441997477861e-01
4.455497193724998195e-01,3.537038317933091647e-01
2.193849488908200807e-01,2.001807906479850518e-01
8.875149176304628629e-01,5.125621861118023759e-02
1.025576872283989888e-01,4.513935571547647019e-01
2.306685797855764775e-01,-2.458936199599198388e-02
4.018484980637951343e-01,-6.969165387933626277e-02
5.308506086041390182e-01,1.021453061229723458e-01
3.492116526407917365e-01,4.944639722489750366e-01
1.216540341374527379e-01,9.135212486914892627e-02
3.088425772832250060e-01,2.745890818768078057e-01
3.951202043770913885e-01,-8.530681722092439689e-02
4.976575411412805239e-01,-6.836506970771774605e-03
6.039689250863566894e-01,-6.794637405501957605e-01
5.226896397492462043e-01,-4.962599523009023628e-01
1.919043693627026925e-01,2.584961014225488074e-01
3.652620028407705943e-01,3.648967007129246820e-01
4.112965733565025483e-01,1.377601650113642884e-01
6.116502468190933017e-01,-5.850490172644443043e-02
1.262723079945506255e+00,-5.541450908324093705e-01
7.030362561679626143e-02,-3.541416692645247277e-01
4.955691611600374080e-01,-3.045338890692056988e-01
1.809406764110440061e-02,-4.061659885095282307e-01
5.816037594659118071e-01,-3.745188020570638932e-01
1.902941274968646124e-01,-3.592136961535793982e-01
2.696234707243838069e-01,7.458452855954104954e-02
2.302778473788528180e-01,-1.021411378340822129e-01
6.960411085133527687e-02,-5.827756794374985283e-01
5.394653978892594015e-01,-3.003839359132275955e-01
2.204499557080223104e-01,2.035135494582639148e-02
3.482349247859294339e-01,-2.323647335145633264e-01
9.934023488248705513e-02,-2.158177260781540818e-01
3.370534734797097087e-01,-1.566230950044607551e-01
-3.751085689045203342e+00,-3.852422600256324436e+00
3.615620670371622047e-02,3.137972526248697120e-03
2.028919764466164677e-01,-2.435799232071774734e-01
5.589887640179227457e-01,-1.644770677363301681e-01
4.575025807393602872e-01,-8.701406551961596292e-02
3.522169422665575311e-01,-2.089613959289949308e-01
-5.821384403345774422e-02,-8.220130047576712506e-01
-1.535676079687921247e-01,1.398829448965221989e-01
2.023973637794169167e-01,9.470152856470809982e-03
-1.300203291853666843e-01,2.731435113391913472e-01
-2.452452642408520234e-01,-4.779552129243949676e-01
3.160579446840079409e-01,5.083007266853227790e-01
7.791194052884649335e-02,-2.685258212093095675e-01
3.197132315361133070e-01,2.066687515492942051e-01
-1.268415415493207889e-02,5.217139965393140510e-01
1.264836869662477881e-01,-1.206950733004141241e-01
-1.379277609228212742e-01,-3.863263004288371993e-01
-1.937370973509963401e-01,-3.217776695319607971e-01
-1.791751183876243991e-01,-5.921264856843590912e-02
1.447987407830787221e-01,-3.370995717499368494e-02
-3.678017891940300821e+00,4.094235107372370841e+00
1.398921334468070377e-01,1.172187817393829934e-01
1.388500278979983571e-01,1.914900264913357575e-01
3.301667913335978866e-01,-6.766760358669217379e-02
2.772198573468834804e-01,-9.447170335762254678e-02
-3.743937704550212020e-01,-5.386875803436116383e-01
-2.342178109511961759e-01,6.707372273062027768e-01
2.236002879497413220e-02,5.598408515979784450e-02
9.969672350625922164e-01,8.296439449082192441e-01
3.764392257202647113e-02,-8.938195138655312399e-02
-7.561279082459074763e-01,-2.791535836824386718e-02
4.838665502438506127e-01,-3.374227517283827082e-01
6.118798954948885538e-02,2.685795828551951758e-01
1.835196295103492040e-02,-5.190639458882858603e-01
2.256287478651239353e-01,-2.718734772828743651e-01
-2.745919241950095513e-02,-2.684457677437905587e-02
2.792933479271863528e-01,8.461390777752757497e-01
-3.253708325328695250e-01,2.076456886217568631e-01
6.390843407033092172e-02,3.302645353077760526e-01
8.003188708932915674e-01,7.295315854318947801e-01
3.974027521677454822e-02,-2.290092651011398639e-01
5.115310969740481939e-01,2.786272857819855342e-01
9.705709061530465309e-01,6.833284552132840028e-01
3.110234367523891930e-01,5.625891921783452571e-02
1.878903450541429820e-01,1.125834052566514372e-02
-3.887328470049949414e-01,5.551801477665639917e-01
2.784554950225766046e-01,-1.339125433810491594e-01
5.800832491233395283e-01,5.376891912234388338e-01
9.168250000787714349e-01,-9.368396966815686344e-01
2.158156912913174186e-01,2.896110514897207722e-01
-1.504738092482141298e-01,6.868888993691549816e-01
4.850685396944642847e-01,3.508605685454757594e-01
3.377416885465298613e-01,2.578356277962190121e-02
-4.520450789547711574e-03,5.194835167606350890e-01
4.199069987137363236e-01,4.899246245296015601e-01
-7.670202939482206883e-02,-1.084468376624917428e-02
3.436007522008976967e-01,-7.905490264110304199e-01
6.555033660258111072e-02,2.142057302258132123e-01
2.700889772372273012e-01,-1.108906953876938190e-01
8.151341243005491011e-01,-7.318573021909118292e-01
-3.177784367338731125e-02,1.715586630415380232e-01
3.935157818292154275e-01,-4.044067197539302216e-01
7.481676543270815438e-01,-9.353281227280194621e-01
4.186591200864978046e-01,6.225506395197261122e-02
7.162932913715397421e-01,5.499870989599479065e-01
2.097865228784973057e-01,7.663196683799854136e-02
8.126558562187737866e-01,7.030132127137264098e-01
5.380825442262674452e-01,-5.911924183329446691e-01
1.902533600011459824e-01,1.963617998458986325e-01
3.044169037213732554e-01,-1.947340131526864027e-01
6.636012486069342575e-01,1.630201750075209732e-01
4.496566767583099478e-01,-3.915533370765703070e-01
1.446667304940514320e-01,-2.211879554806889525e-01
3.423217501591582779e-01,-1.563461278603388016e-01
2.872040220374372788e-01,-6.343527616382014234e-01
-1.630486578608673909e-01,-6.513624629753110573e-02
1.651727161397004429e-01,6.291552025268941639e-01
1.872145075844184881e-01,-8.048352624024811275e-02
1.775509807813324958e-01,2.482534985748080167e-02
-3.480447323005367188e+00,-3.740293347194825202e+00
1.540403859109273910e-01,3.183220883805842893e-02
4.601669417318096644e-02,5.662864896849739010e-02
-3.723983328033591889e+00,-3.715460352998487092e+00
6.507329103868874087e-01,1.842884228804958224e-01
9.078761428345423212e-01,-3.620653116717805209e-01
3.049196511172430069e-01,3.007922513612765192e-02
7.622107209498665270e-01,-7.731187038698030811e-01
1.309018798176512233e-01,1.828978605414798841e-01
3.240476572163896174e-01,-5.168482790689840622e-02
9.464860086995113830e-02,-1.246084393913529653e-02
5.671846961228466100e-01,-2.661673740952961720e-01
-1.931276286811267340e-01,-2.659756156489892498e-01
-3.296328413453559314e+00,-3.358460759334692458e+00
2.421290792200517239e-01,6.209763377234222420e-02
-1.188625795960927128e-01,2.325000339672174676e-01
-9.153156394737746449e-02,1.568069805598100441e-01
6.033691350588015201e-01,-1.760006279373722837e-01
-3.541557521472762815e+00,-3.803785429235738480e+00
9.513067020995399914e-02,-1.018672628803527214e-01
-3.627871460227328537e+00,3.744544823316292792e+00
2.299615597370237574e-01,5.679149362304049958e-02
-4.713565067251985319e+00,-5.018573711266967052e+00
-8.580534872311968542e+00,-1.196514506896832808e+00
5.690421140001185041e-01,-2.723213483477416874e-01
3.147066918865213947e-01,-2.521320903175011119e-01
-4.106741491301256985e+00,-4.632346620586827335e+00
-1.268095287890093958e+00,-1.330554497393914293e+00
1.806389593558885009e-01,-1.247152212731081622e-01
3.145324927769230228e-01,5.007132941391503889e-02
6.962582087939024611e-02,-2.341035724153450303e-03
1.343441060880802840e-01,-1.769206273975825749e-01
8.086148116137720568e-03,4.982865510925716945e-01
-3.173749391378529960e+00,3.632854140916912833e+00
3.170359439245612476e-01,2.326503278864989338e-02
1.037167678817406818e-01,9.379428390139256388e-03
2.320970178164933340e-01,1.919199530239377727e-01
5.231493439217567154e-01,9.861430661347322935e-02
-3.509060003905382974e+00,3.998514460715743013e+00
2.192968441571558902e-01,2.449807072461653024e-01
-1.363441076234366833e-01,-1.084705944280192902e-01
2.979953792551163216e-01,2.172063234481446184e-02
-4.504520516314892475e+00,5.445748166211124008e+00
-4.840175348359052165e+00,5.290957983477642124e+00
2.953612872133618006e-01,-4.376056380602363557e-03
2.396816380420584494e-02,-3.850880556644516173e-02
-4.079624685125171624e+00,4.850194307833898932e+00
-1.270891303657893046e+00,1.392610333695849079e+00
1.631588609144500601e-01,1.189116312629279887e-01
3.438438359816776702e-01,-1.330324430074649768e-02
-2.679358697189997487e-02,-8.685765687289515036e-02
5.829354769075496823e-02,1.119194103263110446e-01
6.297897879795002485e-01,1.522826279499261970e-01
3.512750846223067214e-01,3.303553610887632191e-02
2.517600927754587992e-01,-8.474106823713269121e-02
1.110094058652857513e-01,8.921859602647668613e-03
2.532852486054768537e-01,-1.654991073367508003e-01
