IC1,IC2
-7.677752422276716560e-02,-1.750327282671764739e-01
-1.512840943278330463e-02,-3.180129361741364513e-01
1.460821697302377431e-01,-3.091588136355631899e-01
-1.873215200472980180e-01,8.468808088456271366e-02
5.031871404422131322e-01,-2.523306144450329982e-02
3.072411881910568077e-02,5.883872400080197851e-01
2.492274332477723842e-01,1.047914555763948818e-01
1.652144858313104592e-01,1.231417929381327936e-01
4.506004442940458876e-01,5.230465091682969803e-01
-2.217768181433515950e-01,1.131954018958783115e+00
6.345228097506415768e-03,1.088122495664930689e+00
-5.978980482372799055e-02,8.189597563823212134e-01
-3.537834875682509955e-02,5.974670207050213344e-01
-1.289442875732563221e-01,4.631409336749747752e-01
1.037329594127819610e-01,4.514271870907021200e-01
2.412150931420871391e-01,-6.492862450718744731e-03
2.834521988803365145e-01,5.926629712371273007e-01
1.956450502748886267e-01,4.131544273424339053e-01
8.704832592432448779e-02,4.120205805765034951e-02
3.708212951979759087e-01,4.677925481382002038e-01
1.986033919872270403e-01,6.408673119034784538e-01
2.306254836642384065e-01,7.462157517912723081e-01
3.926876839498090188e-01,7.253670772214469986e-01
1.584047785937453545e-01,4.724089086708316843e-01
4.931342356592431919e-01,3.915972480355214835e-02
5.904823360496096463e-01,2.198291702712086848e-01
1.788690834438529942e-01,-1.626110414249590519e-01
2.127002227205945784e-01,-1.133880196143293925e-02
4.820196743068344558e-01,-4.797067363660018069e-01
3.660254245141875140e-01,-2.970511463258403428e-01
7.132115990136213002e-01,-1.027201913886253842e-01
6.095123572780598575e-01,1.352620755295041999e-01
5.704605089653023153e-01,2.795746554275428952e-01
3.662240293540887093e-01,2.750779498347761254e-01
2.209159297371751651e-01,-2.571767889371197602e-01
2.725641532695355362e-01,9.753414537696820930e-02
6.324568157488579256e-01,-9.804344823493851835e-02
4.464170307373699909e-01,-3.781250253856668214e-02
3.143355358221242013e-01,3.319879750016807574e-01
5.278504067827571866e-01,-2.399885907587797629e-01
3.122349226544158807e-01,-4.702300164742813093e-01
4.803144113812423677e-01,-3.948532767464257853e-01
5.979934368166656133e-01,-4.473024512916975448e-01
4.272462274452162312e-01,-7.248843104974682372e-02
5.092624239776443185e-01,8.203310061958147062e-03
6.787343788443674919e-01,-9.036630943349642509e-02
9.218597990145734750e-03,-1.212613628133712984e-02
1.493310352688953235e-01,-2.700219033455769288e-02
9.609051094587199582e-02,-1.247640864755213130e-03
6.587709494693938517e-01,7.595314071504460918e-01
1.259370153645174295e-01,-6.991112837709415606e-01
5.594680735901791380e-01,-1.948810959241097374e-01
6.100024575216449474e-01,-2.199136057845952619e-01
6.210979210799766337e-01,1.007620950874515420e-01
1.498463632418090552e-01,2.220262917872100894e-01
3.854948054935182777e-01,9.849853564769681102e-02
5.862543718307616780e-01,5.579048976823008238e-02
-1.239017746972310707e+00,-2.276253371405441150e+00
-7.433892917799743705e-01,-1.783414803080436428e+00
-1.264221338085109059e+00,-2.217003185838116508e+00
-9.692502832837089910e-01,-1.245138419232383109e+00
-6.022341449656667400e-01,-1.061128628029019527e+00
-7.406441874843637529e-02,-4.431484297495329461e-01
8.522859626831996716e-03,-4.739529261863921761e-01
4.539145202700101689e-01,-5.981317950811675110e-02
-2.773922024875563261e-02,-8.754907404290885875e-01
-1.332530867045171874e-01,-1.203543261699064754e-01
-1.744155644841663411e-01,-3.680467689742297210e-01
-2.569307053154725740e-01,-4.319156604637447994e-01
6.254551127869167892e-01,-8.366921624003146318e-01
-9.629030579762705155e-01,-7.197921348484164206e-01
2.669510233653130671e-01,-1.789328837595030863e-01
4.606171137445916886e-01,4.294495542022296747e-02
8.039362239448947234e-01,1.650728282654396195e-01
-1.201826094858750305e-01,-5.570549444589442123e-01
-3.601673627975132130e-01,-1.107094707380859244e+00
5.245913531266871432e-01,-1.250576848493279158e-01
-1.627161863386488605e+00,2.033725228634525983e+00
-1.556630299622684399e+00,8.807842974270091441e-01
-1.927149559659680600e+00,1.590270931282579125e+00
-8.458635302556030133e-01,1.632741207904511826e+00
-1.363598369443544955e+00,1.768857683081514753e-01
-2.000821937186621768e-01,3.656470549544758031e-01
-5.030402907723865447e-01,-1.451315430430120956e-01
3.805529494372896226e-01,-8.509786380502476835e-03
-5.053128696791235885e-01,3.303683835808935987e-01
-1.831036657460431705e-01,1.344558565068731948e-01
-1.716753884755144177e-02,6.884616094744971937e-01
-1.377340380135239073e-01,7.095994149223917580e-01
1.161380794360875046e-01,1.937846916306119327e-01
-4.973801131354250726e-01,1.552254582861128496e+00
3.201877918409617441e-01,3.086477285001359983e-01
2.634249636809595785e-01,-2.903305043186193424e-01
7.090600492827159318e-01,-3.041554275419099951e-01
-4.993436735560770334e-02,7.632468810689820859e-01
-6.823825378040920819e-01,8.181441978721406549e-01
-6.797493609079098276e-01,-1.519990365164747725e+00
-1.367862134077687530e-01,1.150594154352563153e-01
-7.167611670759699294e-01,4.248261682686074736e-01
-2.084149062488360737e-01,9.263482432892828911e-01
2.490267995833790604e-01,-7.231297005141504308e-02
-5.976250611982386607e-01,1.052347535585711258e+00
3.402325722559450538e-01,4.468030526388460655e-01
-1.288610390796566529e-01,7.802499090910258728e-01
3.308305770925903389e-01,-2.417136109630664206e-02
-1.522305785983363580e-01,2.473874413791127824e-01
2.244021737488612056e-01,5.053989094601957222e-01
6.019542170133140857e-01,2.002596228790823329e-01
4.385601359816914679e-01,1.276921371166468699e-01
3.135489539689771399e-01,1.264783529330558154e-01
4.736368433210454421e-01,-1.869284247494752693e-01
3.927685893592479105e-01,-1.850492482098170799e-01
2.571816588173020945e-01,3.440854927247459227e-01
4.575126601140329652e-01,-1.787526060756447488e-02
4.853948214353515089e-01,6.925352413100561641e-03
-1.120439491153866639e-04,2.030640471481053866e-01
-9.155886766928518217e-01,1.400872292256708063e+00
2.586788253502859125e-01,5.055393855442112949e-01
2.079631088262646199e-01,9.600240473893789650e-01
2.364929099022510528e-01,-2.793174454338961388e-01
1.165263113711933196e-01,-6.154346132236072214e-02
3.194724362906059545e-01,2.753645422219024308e-01
8.562153585038699832e-01,2.845366284252132671e-01
4.283298903273981550e-01,2.555706953831072062e-02
-2.181139315892003105e-01,-6.989126063950205081e-01
-2.033340355667306310e-01,-2.553196683242424658e-01
5.519781789436860597e-01,-3.081770734255507432e-02
3.489989888395637618e-01,-5.457153913199169759e-01
6.904369861510976092e-01,2.470238762696933266e-01
5.131561284957939506e-01,1.853312665367732870e-01
4.490355547551233562e-01,1.924905260499675808e-01
4.551786557814497258e-01,3.180237973703911591e-01
5.173169544173369383e-01,4.355552377808702413e-02
6.146214618887001491e-01,2.677470831683329555e-01
4.764048574880744291e-01,7.973900315501302946e-03
3.433140713930351029e-01,3.291217521391031076e-01
4.147461169943253423e-01,5.066499277279375990e-01
4.978473864058772236e-01,-1.567767102368139709e-01
7.083085490541304319e-01,-2.704719385214864880e-01
1.259024975058340157e-01,1.892171950529222269e-01
3.325027686775248736e-01,4.227524324865196692e-01
5.705569558749362669e-01,9.885165327771971988e-02
8.244697316060711767e-01,-3.468807637168893621e-01
5.461149376630892727e-01,1.692699969999157950e-01
-1.096310025866058663e-01,9.744410465336144078e-01
3.328501477601581993e-01,1.099048280960579049e+00
4.950264526662344067e-01,-2.406824441398825246e-02
3.302086811145136386e-03,1.351421567822229941e-01
5.450203212340322123e-01,-4.524337992478120740e-01
7.980779918819286278e-01,2.261344803017426852e-01
7.297873431793125976e-01,2.177777593764552710e-01
7.263257880110139952e-01,7.095196102943525374e-02
5.410122625701468957e-01,1.218689340623252924e-02
8.549853344460355276e-01,6.881899775089274363e-02
6.685938066149653691e-01,2.877377005199989735e-01
5.309972952742985086e-01,-4.825579004176683978e-02
5.522016706268643160e-01,-3.118544480225967641e-01
5.125032825546769200e-01,2.133233368122349760e-01
6.280482751261752261e-01,1.850457311815851269e-01
3.394790882405586130e-01,1.530627066963118066e-01
5.412115039410174688e-01,-1.173019596761528116e-01
5.669267996795946951e-01,-8.861814762225979358e-02
5.009155959239149913e-01,-8.195914900549200466e-02
4.172858631843271993e-01,-3.356443320667241714e-01
3.479682503495444279e-01,-3.203391654488527696e-01
7.870527966678441123e-01,-4.917941851448131563e-01
3.914243762768042645e-01,-9.171319644148367978e-02
1.996164533316770184e-02,-5.426818306373039358e-02
4.101145324424209093e-01,3.145020135709799547e-01
6.929456023737097237e-01,-3.826565871657475748e-01
6.684917747147612888e-01,-3.073949881624191693e-01
7.631908893330571209e-01,-1.490002403357372149e-02
5.213102100309696674e-01,-1.688363418600961549e-02
5.785680116671741979e-01,-4.590293049947030135e-01
7.327286362544829235e-01,-2.020153640341283696e-01
6.201454508304680979e-02,-5.777588426465113391e-01
4.872311390828230615e-01,2.624275669672005984e-01
5.060653286605045764e-01,-2.092218128462750570e-01
4.281213409863104946e-01,-4.578000294933207148e-01
4.228039038957968065e-01,-6.802007071397535992e-03
3.467661508024085792e-01,-1.230952130180398424e-01
5.248496422119979243e-01,5.669658239714785858e-02
4.869935615808960172e-01,9.403535940718817099e-02
4.083249474346706265e-01,3.762191319986792348e-01
2.418725551129602136e-01,2.301762390265511271e-01
3.375934465307734444e-01,-1.008659323298313343e-01
3.259753079601064862e-01,4.120459481039393662e-02
2.842731598041801644e-01,4.899403663240252116e-01
2.670205011322888677e-01,-4.986663135155982585e-01
3.872092208317370332e-01,-8.925369874259694858e-03
