IC1,IC2
1.051564435167844813e+00,-3.544771937027181574e-02
-3.849131175815713735e-01,3.178210044949758006e-01
-2.766683244954756815e-01,1.120154368391589605e-01
-3.708062379562390154e-01,3.987156018503997257e-01
-4.678527885516430285e-01,5.647596973041832946e-01
-9.471119612407020716e-01,6.895657150140098723e-01
-5.120082390150527685e-01,1.457474067572762655e+00
-1.231328126973181503e+00,9.787306081268323243e-01
-5.780265113864193616e-01,5.507477621135313806e-01
3.551527338745582435e-02,6.527504732820885724e-01
5.097954091994864184e-02,8.932452433657610547e-01
5.202380660062295714e-01,4.440032582442401954e-01
4.934617398891049111e-01,-5.388654033159305801e-01
4.490356384484379126e-01,1.436174577958699849e-01
9.729827017548674517e-01,1.959600317752541454e-01
6.153765692113475350e-01,3.702817074672949960e-01
1.360716476321658819e+00,-2.976872654404498220e-01
8.073925912046836517e-01,-1.060965391941538938e+00
1.368993620038369885e+00,-6.051487893014526748e-02
1.491272389043378110e+00,3.676173671621246197e-01
1.457091618135266442e+00,5.066503409193240381e-01
8.527036767935203265e-01,1.115615884748280218e+00
8.270946292158570801e-01,1.169115867795298636e+00
9.924558303072259502e-01,1.180210179885991195e+00
9.634799612780063915e-01,1.090307335667119792e+00
7.010700441614764467e-01,1.215309075834796415e+00
1.535235022048124787e+00,9.008705374793578580e-01
1.108801096039953249e+00,1.729251331870661490e+00
9.622707184136439773e-01,1.231730524951596184e+00
1.501167944213059657e+00,1.042349811557433670e+00
1.499652141301091701e+00,7.774073583237034457e-01
1.624249343527924161e+00,8.335188166181121128e-01
7.668226628829437619e-01,8.633830254174246210e-01
1.123869788687276827e+00,6.373373362393509600e-01
1.674728252979507559e+00,6.171108093259484173e-01
1.398621964097157999e+00,5.336682821957973166e-01
1.486343869390992722e+00,4.474283786803308627e-01
7.920262369714721196e-01,1.058711029508589085e+00
1.536239759333154042e+00,2.544090684492222310e-01
1.767310862225694335e+00,-5.429829951697383306e-02
1.914019348779968155e+00,1.552163870762644088e-02
1.846638108687303825e+00,2.122903370649631763e-02
1.477761561150301217e+00,-4.349960177428624508e-01
1.465226294406963170e+00,-6.539217315984099388e-01
1.278800260447093606e+00,-7.465918384773722050e-01
8.443161767376844429e-01,-1.076143140568888379e+00
1.250633633765594332e+00,-1.253615381013966523e+00
1.238906414153109647e+00,-1.614079035556603703e+00
9.561211926007625594e-01,-1.266853637342665095e+00
1.083271022237501047e+00,-1.553877467655667921e+00
9.679797163959387163e-01,-1.416954102577062002e+00
8.914664378554308932e-01,-1.709050880624852331e+00
1.720414534761045555e-01,-1.580711680837890265e+00
4.219465194127948737e-01,-1.474551958913737693e+00
4.870718869991647604e-01,-2.020510518589884619e+00
3.976286494787258097e-02,-2.136628078913668460e+00
-1.243235034119125337e-01,-2.343063639086137240e+00
9.468229736397658636e-01,-9.027321551885433282e-01
1.313080364376561393e+00,-5.228200999372578650e-01
2.027508506702420110e+00,3.580691616947222489e-01
2.006834364996228359e+00,9.152994034912374788e-02
1.365454885923146122e+00,-5.860627253860650754e-01
6.365087795407845528e-01,-5.434812360369682960e-01
1.355923496901142999e-01,-8.917749370689815880e-01
5.549125716689400356e-01,-8.919445453923469103e-02
2.429384693520421912e-01,3.886765756205752820e-01
1.435021770669093755e-01,-2.088472111694266581e-02
3.621283896509765177e-02,2.346760305278374203e-01
-7.157773550262699347e-01,-6.690768430467666228e-01
-8.919963506694477129e-01,-7.310646104712715809e-01
-1.005178711763507621e-01,1.899155188269704975e-01
-7.154830740902985431e-01,-1.425801594854377852e-01
-9.417172972508454087e-01,3.013827858477862720e-01
-1.273029322805799168e+00,-4.860499912988285875e-01
-1.374724074324388701e+00,-1.245533611521252998e-01
-1.011930710143160050e+00,9.402023616686079333e-01
-1.497145213753450443e+00,7.743864800612988430e-01
6.309249682091525036e-02,-1.180985185343489119e-01
5.309076469008159327e-01,-3.853589730862922447e-01
1.008346891387062128e+00,-1.558244241235055672e+00
5.254792296984271971e-01,-1.827394336041183065e+00
-2.712629322072706572e-01,-1.320533270682395122e+00
-5.583842690111991969e-01,-8.492884986885800291e-01
-8.474686928712735767e-01,-2.480172267927774343e-01
