IC1,IC2
2.676635147201563036e+00,-1.391134216635123932e+00
2.975504332620173553e+00,-1.346803221209909696e+00
2.694247172112372191e+00,-1.670615019631325859e+00
2.949113761371573883e+00,-1.606098578188439596e+00
1.980861673321430150e+00,-2.009967909523741270e+00
2.345441582940256620e+00,-1.928057067161598859e+00
1.920012276440529408e+00,-1.356779749617663455e+00
2.218139312664421325e+00,-1.438301135914006545e+00
1.661328330494416861e+00,-1.958522377583110208e+00
1.443178866312960329e+00,-1.546703892300945959e+00
1.463906096689349789e+00,-1.024412626308584429e+00
1.117515402738972430e+00,-9.877349707980865867e-01
1.374320500502105968e+00,-7.052879423978520856e-01
1.177595442196274877e+00,-3.513059845605541742e-01
8.577739832876370984e-01,-6.660440995702917588e-01
6.586385296997104843e-01,1.123543652638085560e-01
8.252379544475301199e-01,-7.054393543473106432e-01
8.329885095078436441e-01,-5.909882302814194466e-01
1.114285210715085128e+00,-2.683955758596684796e-02
3.225404916676160028e-01,-2.972197812917227733e-01
6.510909605041547144e-01,-9.396629978407666783e-01
8.939871711375041441e-01,-1.045165414715873542e+00
6.042568928780370774e-01,-7.299707687174336046e-01
1.118996920260006744e+00,-4.629508129522990068e-01
4.363234693871421710e-01,2.789441656820287885e-01
4.783187574995548808e-01,-1.966230166295177550e-01
9.760541322543606624e-01,3.508709047261815983e-01
8.466163472459532491e-01,-8.891023331009714759e-02
3.645826031809833445e-01,5.243358439434374629e-01
6.524007186100129196e-01,7.226188267974801294e-01
6.708671899413041206e-01,1.791833482864296778e-01
3.136371395956302210e-01,1.155115002060139034e-01
4.828560965699898455e-01,-2.777913221784846787e-01
5.628199105394371404e-01,-3.055387464521061580e-01
6.605077801822907269e-01,5.316155119566766674e-01
5.886296305016125441e-01,-1.229769092441160561e-01
2.879453554299948870e-01,1.460910140705927451e-01
3.755944846025042194e-01,1.276551150811689461e-01
6.929658997492541550e-01,-4.021198703759814030e-01
4.133476586872724678e-01,4.908949603966427100e-01
4.611045950929286708e-01,8.170926065262553717e-01
2.421439189369294365e-01,3.573533003374225747e-01
2.459494527823616328e-01,3.876258243372217582e-01
4.744589369920780286e-01,-2.290903160767233659e-01
3.187297378316677476e-01,-3.629142367481799081e-01
-6.753878182281509816e-03,-3.280920479164587955e-01
1.047036948738923057e+00,-1.827825695068765466e-01
6.843994504858368355e-01,-2.311790884316586303e-02
8.617240134584654987e-01,1.489971127047060306e-01
4.442770627423973107e-01,-9.284268252931715537e-01
1.049737233563872163e+00,3.695295431120583229e-01
4.372532945044523278e-01,1.038348831320375504e-01
3.316598236470479355e-01,1.737222918154547602e-01
1.121187053473279016e-01,-1.692702301798796882e-01
8.399482900733268309e-01,-2.455093395917598842e-01
2.876677032774843656e-01,-1.703298790137934282e-01
2.719248104401028598e-01,-1.033794371002456219e-01
9.038740249426859830e-01,5.994640774962266550e-01
2.725669587183855436e-01,-2.672668802433273219e-02
-1.101686970215727701e+00,-2.330961506250977422e+00
-5.088816730884113682e-01,-1.985773808865383572e+00
-4.674167025424878497e-01,-1.191248919036173470e+00
2.125518219074307158e-01,-3.769179770690226361e-01
-1.630085187531169488e-01,-4.851529497938643076e-01
-6.534325989465898932e-01,-7.704428986013434066e-01
2.162750426364644651e-01,6.767377592095916716e-01
4.306585468759440150e-01,-4.867718272644115940e-01
-1.225481894442477460e+00,-2.282514193481326448e+00
5.470604749991999638e-01,-4.598126416810415784e-01
3.040443439768437672e-01,8.604406244497471157e-01
8.079918079701532418e-01,-5.906287917126408216e-01
4.401667309971824538e-01,-3.068853186046967621e-02
1.966496537525410648e-01,-2.792930264039157340e-01
-7.923279993873851013e-02,-1.923698284345120744e-03
4.626938319656719312e-01,-1.299573855640113740e-01
-8.494925049816408336e-02,-2.213733495251874184e-01
3.119480194394497752e-01,2.247116421806865938e-01
1.604827681247708582e-01,-1.461374197556938981e+00
-6.518696622936674956e-01,-1.060816344188516114e+00
-1.600625382682152154e+00,1.811517326793515847e+00
-2.562400333237087047e+00,-4.696209033937756572e-01
-8.790969566670112645e-01,7.615343234957746565e-01
3.627699938750026942e-01,6.439523267347362356e-01
-5.797121903538727389e-02,6.865113752483138487e-01
-3.424339104476376017e-01,1.222632691268876748e+00
7.162051675266215556e-01,-1.065494158625750719e-02
4.986229978622430115e-01,6.625689335200863894e-01
-1.509570608957478743e+00,2.025658551414772912e+00
2.400419611569230560e-01,1.697595167109923198e-01
7.829817812411855593e-01,-2.242410142873655921e-01
1.663929337625323635e-01,-1.039477144968358330e-01
2.448582087764457071e-01,-1.390450481459980792e-01
3.764204929896783347e-01,5.791697101583739293e-01
2.714635528897207679e-03,1.597169371982985753e-01
3.653796098837338024e-01,8.717644212278083393e-02
1.979609414366111098e-01,6.382808870257572487e-01
6.480483049551768460e-01,2.563161852866405743e-01
-2.095394736424218696e-01,1.115539911633111281e+00
-1.720224665022805910e-01,1.734800021138862558e+00
9.688264622017801753e-02,2.473459572729118094e-01
-1.178379763683563342e+00,2.186014925737728376e+00
4.092392386576303442e-01,8.491273925185289784e-01
4.923646523990232171e-01,-4.346783471087816153e-01
3.910764981321146472e-01,-9.399713980428663074e-02
5.228584985457298551e-01,-1.390682535550958054e-01
7.958500734921787334e-01,1.936774029736423319e-01
6.831837925943603507e-01,-3.804895616056899188e-01
2.649012281030504491e-03,-2.031330365194025100e-01
4.276139182674649208e-01,1.250177303826983388e-01
6.605436650448908154e-01,1.646686846439337493e-01
2.654986872332998349e-01,2.954992023726162320e-01
5.040941660483713171e-01,5.348679103401837720e-01
6.472416290698423946e-01,-1.904465765860246795e-01
2.533903200404934442e-01,2.060491223701936270e-01
3.163754865599192057e-01,-8.085922673603371247e-02
7.429714879834802277e-01,8.493933384038358791e-02
7.436048624875655211e-01,-6.550961654446973981e-02
2.864086116724450792e-01,-4.853109803668877453e-01
4.644469377075455818e-01,-9.501080922086551084e-01
5.814993517739042161e-01,4.110698069651319009e-01
7.206549792184362424e-01,1.259661471605166283e-01
