IC1,IC2
9.129054794353393953e-01,-3.940760186536070193e-03
9.064380552157939031e-01,1.303000623244306979e-03
9.012474517284043696e-01,1.599475468780432730e-02
9.079253771627122660e-01,-6.767199193628409097e-03
9.061575475762591036e-01,-2.296206470251065460e-02
8.956955668298290929e-01,-1.492695686979699128e-02
9.106312006299099870e-01,-2.652915282653534046e-02
8.970128152480510986e-01,-9.554516670063541856e-03
9.016813212915820719e-01,-3.194259196534724593e-02
8.888911492888885713e-01,-4.153834286335031378e-02
8.970231394779765166e-01,-2.308209219002866491e-02
8.993400913956118847e-01,-2.243386243709502917e-02
8.793085000414174734e-01,4.928342210137675976e-03
8.979743066554056741e-01,-1.842022468095135153e-03
8.879274286214023926e-01,-1.510685401829328645e-02
9.063381972026421929e-01,-1.667300547807805747e-02
8.955367963474109017e-01,-1.373514641614606742e-02
9.004544891313652766e-01,-1.453767680645255342e-02
9.036037938713495921e-01,-4.658632935447416801e-03
8.904887990298488987e-01,-3.410235317170456307e-03
8.889974098995676588e-01,-1.918270882600962152e-02
8.967161803275882637e-01,-6.989217922596165089e-03
8.944075319262548840e-01,-1.778538777298708379e-02
8.945433917776685062e-01,-3.400774052285230904e-03
8.794575553464595297e-01,-2.858526745750481889e-03
8.840044787231647883e-01,7.885474681595174354e-03
8.836690897721080074e-01,-1.129891455595597145e-05
8.863228075947360285e-01,3.580997147337995363e-03
8.830345136433725983e-01,1.609531607461190880e-02
8.744533543097338102e-01,3.185924320384848907e-02
8.795967320101188980e-01,9.109082571883669877e-03
8.754933924459614714e-01,6.247190579731849887e-04
8.836574723589950553e-01,8.574359889404059229e-03
8.900782251654372201e-01,-9.021537471677791922e-04
8.884574761969344925e-01,2.328839737461836645e-02
8.974708878433126369e-01,1.201227231588480014e-02
8.879977462863978266e-01,1.163875783532263529e-02
8.918933811317866223e-01,1.077815402052271533e-02
8.996881420622115932e-01,6.127057382830257935e-03
8.891883250153849172e-01,9.182868330443565152e-03
8.895515443408013034e-01,2.729540775842273156e-02
8.969601723013944650e-01,1.402708122925168215e-02
8.962569798982517044e-01,2.694171311338679209e-02
9.035985818473272202e-01,2.110051490164467636e-02
8.889610050650863515e-01,2.246938274514467468e-02
8.918925366991647952e-01,9.390547462606115697e-03
8.972798528430206977e-01,2.411455162998027771e-02
8.990002947580726378e-01,1.917110461929666734e-02
8.936518348389171917e-01,4.509751765774286207e-03
8.989954614167340319e-01,6.064942478881546646e-03
8.920581030598726535e-01,1.400066296705921101e-02
8.930464045128645445e-01,2.890728634196741698e-02
8.996056555706325453e-01,1.830498725909774152e-02
8.904441711494420764e-01,8.691028566562944077e-03
9.040324708010489818e-01,2.707803768683105395e-03
9.091476873370888390e-01,8.531831780627488135e-03
9.100711781157220237e-01,2.211756621378994925e-02
-3.446532985571165164e-01,-1.472031170564334746e+00
-6.835250740343112863e-01,-1.879770187455611863e+00
-8.114324540947285280e-01,-2.021291977078587543e+00
-6.841781057033917701e-01,-1.888751810988398061e+00
-6.194245940797994399e-01,-1.808060536890744752e+00
