IC1,IC2
1.067610082519939718e+00,-1.760653737488249437e-01
1.035227314359169926e+00,-1.237907224772296921e-01
1.039113471455091586e+00,-1.073378034469087139e-01
1.019241881937851479e+00,-1.233990504455270698e-01
1.008678604687465619e+00,-1.516807667312037311e-01
9.764630168712331582e-01,-1.047567554704987164e-01
9.276575855552179339e-01,-2.713202794624649042e-02
9.513924057893285990e-01,-7.587715811625424245e-02
9.464123008139552207e-01,-5.914405792091096542e-02
9.103778735972127834e-01,-2.814420853652444335e-02
9.152953568697510534e-01,-2.484513605557100643e-02
9.148845257822140198e-01,-4.112196028652273516e-02
8.990576056585359854e-01,-7.485659378111009926e-04
9.217055015747320779e-01,-1.854289578182461914e-02
9.079169707282951363e-01,-1.293733929648080080e-02
9.143512144025236488e-01,-2.701495624867894236e-04
9.076658698143736936e-01,-1.056254401794915615e-02
9.222167290009815055e-01,-1.362946315864621213e-03
9.234828641670601579e-01,-5.356846092241115964e-03
9.134618542522040530e-01,2.279918507693753926e-02
9.097543762267176204e-01,-1.196241215438665316e-02
9.216668143775224031e-01,-7.798917611372553106e-03
9.274269778322563607e-01,-2.223306813002891291e-02
9.141802885104911569e-01,3.369100001178761388e-03
8.905857798582286211e-01,1.656834801853903152e-02
8.947432773424394137e-01,1.643477918487937575e-02
9.061765483561645684e-01,1.594892229781133541e-02
8.948144884785402819e-01,2.010520288656485882e-02
8.986605026797421791e-01,1.452063893047188942e-02
8.953076433367191944e-01,2.608150993073595283e-02
8.860160848844685910e-01,5.155287268943526888e-03
8.748731708641650506e-01,8.387637024275062733e-03
8.886392057582684911e-01,5.284587620158763197e-03
9.008500702248641856e-01,8.603297117824473469e-03
9.118365286735895525e-01,3.416662049672957585e-02
9.338686428280030816e-01,3.997681244565342434e-02
9.184635067800789310e-01,4.017021914153515866e-02
9.321226506839308534e-01,2.878563958928223240e-02
9.286137682987992692e-01,2.687215151667870019e-02
9.304094173418991920e-01,1.391710773725447423e-02
9.262673368866500834e-01,4.834522661504809388e-02
9.374811063714909576e-01,4.242203133725876152e-02
9.338930315237420343e-01,4.501933022619823005e-02
9.329424488422750628e-01,3.544332576391511641e-02
9.141535319528351078e-01,2.994201202183697369e-02
9.313543347772221814e-01,4.559286829601963409e-02
9.333596260537271316e-01,3.374300137927864485e-02
9.262509244530884311e-01,3.564276014564160544e-02
